product_id,times_appearing,product_name,main_category,min_rating,max_rating,min_reviews,max_reviews
B07JW9H4J1,3,"Wayona Nylon Braided USB to Lightning Fast Chargin",Computers&Accessories,4.20,4.20,24269,24270
B098NS6PVG,3,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Br",Computers&Accessories,4.00,4.00,43993,43994
B096MSW6CT,3,"Sounce Fast Phone Charging Cable & Data Sync USB C",Computers&Accessories,3.90,3.90,7928,7928
B08HDJ86NZ,3,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stres",Computers&Accessories,4.20,4.20,94363,94364
B08CF3B7N1,3,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin U",Computers&Accessories,4.20,4.20,16905,16905
B08Y1TFSP6,3,"pTron Solero TB301 3A Type-C Data and Fast Chargin",Computers&Accessories,3.90,3.90,24870,24871
B08WRWPM22,3,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Ca",Computers&Accessories,4.10,4.10,15188,15189
B08DDRGWTJ,3,"MI Usb Type-C Cable Smartphone (Black)",Computers&Accessories,4.30,4.30,30411,30411
B09C6HXFC1,3,"Duracell USB Lightning Apple Certified (Mfi) Braid",Computers&Accessories,4.50,4.50,815,815
B08CF3D7QR,3,"Portronics Konnect L POR-1081 Fast Charging 3A Typ",Computers&Accessories,4.30,4.30,13391,13391
